Ai Group says commitment to NBN essential|ai-group-says-commitment-nbn-054909641.html|AAP|0
New Target chief appointed|target-chief-appointed-040609269.html|AAP|0
More firms halt work at N. Korea industrial zone|more-firms-halt-n-korea-084333908.html|AFP|0
BoJ ushers in 'easy money' era, but questions abound|boj-ushers-easy-money-era-091439189.html|AFP|0
Aust stocks open slightly higher|aust-stocks-open-slightly-higher-235414252.html|AAP|1
Fewer job ads posted in March|fewer-job-ads-posted-march-014617665.html|AAP|0
Stocks to watch at noon on Monday|stocks-watch-noon-monday-010508632.html|AAP|1
Aust stocks trading flat|aust-stocks-trading-flat-023207931.html|AAP|1
Aust dollar lower at noon|aust-dollar-lower-noon-013013689.html|AAP|1
Aust dollar opens higher|aust-dollar-opens-higher-203613647.html|AAP|1
Threat to jobs as Buildplan collapses|threat-jobs-buildplan-collapses-002811404.html|AAP|0
Sundance shares plunge as talks collapse|sundance-shares-plunge-talks-collapse-001909057.html|AAP|0
EU criticises Austra over bank secrecy|eu-criticises-austra-over-bank-014235554.html|AFP|0
Aussie shares close higher|aust-shares-close-higher-052508557.html|AAP|1
Aust dollar above 104 US cents|aust-dollar-above-104-us-204212680.html|AAP|1
Gold extends losses to lowest since May at $1,539.74/oz|gold-extends-losses-lowest-since-083916099.html|Reuters Australia|1
Aust dollar trading near 104.3 US cents|aust-dollar-trading-near-104-194711884.html|AAP|1
Euro exit a high risk option for Cyprus|euro-exit-high-risk-option-001317513.html|AFP|0
$A pushes above 100 yen|pushes-above-100-yen-031210571.html|AAP|1
Aust shares close lower|aust-shares-close-lower-052008666.html|AAP|1
European stocks slump on poor US jobs data|european-stocks-slump-poor-us-061452907.html|AFP|1
PRECIOUS-Gold stays near 10-mth low, U.S. jobs data in focus|precious-gold-stays-near-10-040755299.html|Reuters Australia|1
Boeing to conduct final 787 battery test flight|boeing-conduct-final-787-battery-071621122.html|AFP|0
UPDATE 3-Oil near five-month low as data disappoints|3-oil-near-five-month-082956967.html|Reuters Australia|1
UPDATE 4-Oil near five-month low as data disappoints|4-oil-near-five-month-092305166.html|Reuters Australia|1
Court decision looms in Argentine debt showdown|court-decision-looms-argentine-debt-100001111.html|AFP|0
PRECIOUS-Gold holds above 10-mth low, U.S. jobs data in focus|precious-gold-holds-above-10-104855589.html|Reuters Australia|1
PRECIOUS-Gold edges up ahead of potentially weaker U.S. jobs data|precious-gold-edges-ahead-potentially-120001190.html|Reuters Australia|1
Boeing conducts final 787 battery test flight|boeing-conducts-final-787-battery-111655309.html|AFP|0
UPDATE 5-Oil falls to five-month low after U.S. jobs data|5-oil-falls-five-month-130400101.html|Reuters Australia|1
PRECIOUS-Gold near session highs on weaker U.S. data|precious-gold-near-session-highs-150146680.html|Reuters Australia|1
UPDATE 6-Oil hits five-month low after U.S. jobs data|6-oil-hits-five-month-133644860.html|Reuters Australia|1
Foreign wind farms cause uproar in Mexican villages|foreign-wind-farms-cause-uproar-081405881.html|AFP|0
EU-bound Croatia privatises ailing shipyard|eu-bound-croatia-privatises-ailing-091036630.html|AFP|0
Chile port workers end strike|chile-port-workers-end-strike-075021216.html|AFP|0
TV startup shakes up US broadcasters with court win|tv-startup-shakes-us-broadcasters-201521936.html|AFP|0
Offshore accounts data reveal financial crimes: report|offshore-accounts-data-reveal-financial-000452798.html|AFP|0
French ex-minister 'tried to invest 15 mn euros in Swiss fund'|french-ex-minister-tried-invest-042557329.html|AFP|0
DR Congo looks to end reign of US dollar|dr-congo-looks-end-reign-020525207.html|AFP|0
Offshore accounts used to conceal law-breaking|offshore-accounts-used-conceal-law-213234773.html|AFP|0
Qantas 'bomb' part of aircraft|qantas-bomb-part-aircraft-001310968.html|AAP|0
Luxembourg ready to revise bank secrecy: minister|luxembourg-ready-revise-bank-secrecy-040132544.html|AFP|0
IMF's Lagarde says euro has 'long-standing future'|imfs-lagarde-says-euro-long-054738157.html|AFP|0
Saudi gives illegal foreign workers three months' grace|saudi-gives-illegal-foreign-workers-063921717.html|AFP|0
France ups the ante in EU tax evasion battle after scandal|france-ups-ante-eu-tax-064342368.html|AFP|0
As Bitcoin virtual currency soars, bubble fears do too|bitcoin-virtual-currency-soars-bubble-074126380.html|AFP|0
Steep fall in Syria foreign trade in 2012: study|steep-fall-syria-foreign-trade-090512633.html|AFP|0
Italy bids to close gap in wine exports to China|italy-bids-close-gap-wine-091924232.html|AFP|0
India government business charm offensive falls flat|india-government-business-charm-offensive-092146471.html|AFP|0
Greek banks to be recapitalised separately: central bank|greek-banks-recapitalised-separately-central-110756847.html|AFP|0
Portugal prime minister announces heavy spending cuts|portugal-prime-minister-announces-heavy-121542550.html|AFP|0
France's Fabius denies 'rumour' of Swiss bank account|frances-fabius-denies-rumour-swiss-151514458.html|AFP|0
Stocks to watch on Monday|stocks-watch-monday-202608529.html|AAP|1
Australian dollar opens lower|australian-dollar-opens-lower-214524264.html|AAP|1
Aust bonds open stronger|aust-bonds-open-stronger-214410200.html|AAP|1
Construction weakens sharply in March|construction-weakens-sharply-march-235309690.html|AAP|0
PRECIOUS-Gold slips, but near Friday's top on weak US jobs|precious-gold-slips-near-fridays-004529551.html|Reuters Australia|1
Stocks to watch on Tuesday|stocks-watch-tuesday-220128433.html|AAP|1
Shares in two Greek banks drop 30% on merger suspension|shares-two-greek-banks-drop-224418055.html|AFP|0
